,Attrition,Department,JobLevel,JobRole,MonthlyIncome,PercentSalaryHike,YearsAtCompany,YearsSinceLastPromotion,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Salary
30,Yes,Research & Development,3,Research Scientist,68540,11,3,0,1.0,2.0,3.0,2,3,medium
31,No,Research & Development,1,Human Resources,96370,13,5,0,4.0,4.0,3.0,2,3,medium
32,No,Research & Development,2,Research Scientist,35910,13,3,1,3.0,1.0,3.0,3,3,low
33,No,Sales,3,Sales Executive,54050,14,8,7,3.0,2.0,3.0,3,3,medium
34,No,Research & Development,1,Sales Executive,46840,16,2,2,4.0,2.0,2.0,3,3,low
35,Yes,Research & Development,2,Manager,157870,12,8,7,4.0,4.0,3.0,3,3,high
36,No,Sales,1,Laboratory Technician,15140,14,4,1,2.0,4.0,2.0,3,3,low
37,No,Sales,3,Research Director,29560,13,20,4,3.0,2.0,4.0,3,3,low
38,Yes,Research & Development,1,Sales Executive,23350,14,0,0,3.0,3.0,3.0,2,3,low
39,No,Sales,1,Laboratory Technician,51540,19,11,6,3.0,2.0,2.0,2,3,medium
40,No,Research & Development,3,Sales Executive,69620,12,1,0,3.0,2.728246013667426,3.0,2,3,medium
41,No,Research & Development,2,Laboratory Technician,56750,13,4,1,4.0,2.0,3.0,2,3,medium
42,No,Research & Development,1,Laboratory Technician,23790,12,22,0,4.0,2.0,3.0,3,3,low
43,No,Sales,1,Research Scientist,38120,15,0,0,4.0,3.0,3.0,3,3,low
44,No,Research & Development,1,Sales Representative,46480,23,8,0,2.0,1.0,3.0,2,4,low
45,No,Research & Development,1,Manufacturing Director,29360,12,8,7,2.0,4.0,2.0,3,3,low
46,No,Sales,2,Human Resources,21050,20,18,3,3.0,4.0,2.0,3,4,low
47,No,Research & Development,1,Sales Executive,85780,21,9,0,2.0,2.0,3.0,3,4,medium
48,No,Sales,2,Laboratory Technician,27060,21,13,4,4.0,3.0,2.0,3,4,low
49,No,Research & Development,3,Research Scientist,63840,19,10,0,1.0,2.0,3.0,2,3,medium
50,No,Research & Development,2,Manufacturing Director,39680,13,5,1,4.0,3.0,3.0,2,3,low
51,No,Research & Development,3,Research Scientist,99070,13,5,0,3.0,4.0,3.0,2,3,medium
52,No,Sales,2,Sales Executive,132250,21,2,1,1.0,1.0,3.0,3,4,high
53,No,Research & Development,1,Sales Executive,35400,13,24,9,1.0,1.0,3.0,3,3,low
54,No,Sales,2,Research Scientist,28040,19,2,2,3.0,4.0,1.0,3,3,low
55,No,Research & Development,4,Research Director,193920,12,10,8,4.0,2.0,3.0,3,3,high
56,No,Sales,1,Sales Executive,196650,22,21,11,3.0,1.0,3.0,3,4,high
57,No,Research & Development,4,Research Scientist,24390,15,8,1,3.0,4.0,3.0,3,3,low
58,No,Research & Development,3,Manufacturing Director,73140,22,7,0,3.0,3.0,3.0,3,4,medium
59,Yes,Research & Development,2,Research Scientist,47740,18,8,7,3.0,2.0,2.0,3,3,low
60,No,Research & Development,3,Research Scientist,39020,22,4,1,3.0,2.0,2.0,3,4,low
61,No,Research & Development,3,Research Scientist,26620,11,13,11,3.0,2.0,3.0,4,3,low
62,No,Research & Development,4,Research Director,28560,12,5,0,4.0,3.0,3.0,4,3,low
63,No,Sales,2,Healthcare Representative,10810,11,7,1,4.0,4.0,3.0,4,3,low
64,No,Research & Development,2,Healthcare Representative,24720,13,7,0,1.0,4.0,2.0,3,3,low
65,Yes,Research & Development,1,Sales Executive,56730,14,3,2,1.0,4.0,2.0,2,3,medium
66,No,Research & Development,4,Research Director,41970,13,10,1,4.0,4.0,3.0,3,3,low
67,No,Research & Development,1,Manager,97130,17,10,8,3.0,3.0,3.0,2,3,medium
68,No,Research & Development,1,Research Scientist,20620,13,21,13,3.0,4.0,3.0,3,3,low
69,Yes,Research & Development,1,Laboratory Technician,42840,17,1,0,4.0,3.0,2.0,3,3,low
70,No,Sales,4,Research Scientist,47880,11,7,0,2.0,4.0,2.0,3,3,low
71,No,Research & Development,2,Healthcare Representative,59060,23,3,1,4.0,3.0,3.0,4,4,medium
72,No,Research & Development,5,Research Director,38860,17,9,0,3.0,3.0,4.0,3,3,low
73,No,Research & Development,1,Research Director,168230,17,5,1,3.0,2.0,3.0,3,3,high
74,No,Research & Development,2,Research Scientist,29330,12,4,0,4.0,3.0,2.0,3,3,low
75,No,Research & Development,2,Manager,65000,23,1,0,3.0,1.0,2.0,3,4,medium
76,No,Sales,1,Sales Executive,171740,14,10,9,4.0,4.0,3.0,3,3,high
77,No,Research & Development,4,Research Scientist,50330,14,4,0,2.0,4.0,2.0,3,3,medium
78,Yes,Research & Development,1,Research Scientist,23070,13,7,0,2.0,1.0,2.0,3,3,low
79,No,Human Resources,3,Sales Representative,25870,22,3,2,2.0,4.0,3.0,3,4,low
80,No,Research & Development,2,Research Scientist,55070,12,10,1,4.0,3.0,3.0,2,3,medium
81,No,Research & Development,1,Manager,43930,18,8,0,2.0,2.0,3.0,2,3,low
82,No,Sales,2,Healthcare Representative,133480,14,6,0,4.0,4.0,2.0,3,3,high
83,No,Research & Development,1,Laboratory Technician,65830,12,11,2,3.0,4.0,3.0,3,3,medium
84,No,Research & Development,3,Manager,81030,15,11,4,3.0,4.0,2.7614364135407135,3,3,medium
85,No,Research & Development,3,Sales Executive,39780,11,7,1,4.0,2.0,3.0,3,3,low
86,No,Sales,3,Manager,25440,13,16,0,3.0,2.0,3.0,4,3,low
87,No,Research & Development,1,Manufacturing Director,53990,23,4,0,3.0,4.0,2.0,2,4,medium
88,No,Research & Development,1,Laboratory Technician,54870,19,5,1,4.0,2.0,3.0,3,3,medium
89,No,Sales,2,Laboratory Technician,68340,16,0,0,2.0,3.0,3.0,4,3,medium
90,No,Research & Development,1,Manager,10910,22,1,0,1.0,4.0,3.0,1,4,low
91,No,Sales,2,Human Resources,57360,22,4,0,4.0,3.0,2.0,2,4,medium
92,No,Sales,3,Research Scientist,22260,12,3,1,3.0,3.0,3.0,2,3,low
93,No,Research & Development,2,Research Scientist,57470,13,8,0,3.0,2.0,3.0,3,3,medium
94,No,Sales,4,Sales Executive,98540,16,0,0,1.0,3.0,1.0,2,3,medium
95,No,Research & Development,2,Manufacturing Director,54670,12,7,6,3.0,1.0,3.0,3,3,medium
96,No,Sales,1,Healthcare Representative,53800,21,2,2,4.0,3.0,4.0,3,4,medium
97,No,Sales,5,Laboratory Technician,51510,15,8,7,3.0,3.0,3.0,3,3,medium
98,No,Sales,1,Laboratory Technician,21330,13,1,0,1.0,4.0,3.0,3,3,low
99,Yes,Research & Development,4,Manufacturing Director,178750,12,3,1,1.0,2.0,3.0,2,3,high
100,No,Human Resources,2,Laboratory Technician,24320,22,1,0,4.0,4.0,3.0,1,4,low
101,No,Research & Development,2,Research Scientist,47710,13,13,1,1.0,4.0,3.0,3,3,low
102,No,Research & Development,5,Research Scientist,191610,18,3,1,4.0,3.0,3.0,1,3,high
103,No,Research & Development,2,Sales Executive,50870,14,7,1,4.0,3.0,3.0,3,3,medium
104,No,Research & Development,2,Manager,28630,14,3,2,1.0,4.0,2.0,1,3,low
105,Yes,Human Resources,5,Manager,55610,21,1,0,4.0,3.0,3.0,1,4,medium
106,No,Research & Development,4,Research Scientist,21440,19,5,0,3.0,1.0,3.0,4,3,low
107,No,Sales,2,Laboratory Technician,30650,11,1,0,3.0,3.0,4.0,3,3,low
108,Yes,Research & Development,1,Research Scientist,28100,11,8,7,1.0,2.0,3.0,4,3,low
109,No,Research & Development,3,Laboratory Technician,98880,15,4,1,4.0,4.0,3.0,3,3,medium
110,Yes,Research & Development,1,Healthcare Representative,86280,20,6,1,3.0,3.0,3.0,2,4,medium
111,No,Research & Development,4,Human Resources,28670,24,2,2,2.7236031927023947,2.0,3.0,3,4,low
112,Yes,Human Resources,1,Laboratory Technician,53730,12,1,0,3.0,2.0,3.0,3,3,medium
113,No,Research & Development,2,Research Director,66670,12,3,1,4.0,4.0,3.0,4,3,medium
114,No,Research & Development,3,Sales Executive,50030,15,1,0,3.0,2.0,3.0,3,3,medium
115,No,Sales,1,Sales Executive,23670,12,5,0,4.0,2.0,3.0,3,3,low
116,No,Research & Development,3,Manager,28580,12,7,0,2.0,4.0,3.0,2,3,low
117,No,Sales,2,Manufacturing Director,52040,14,5,0,2.0,3.0,3.0,3,3,medium
118,No,Research & Development,1,Sales Executive,41050,22,7,0,3.0,4.0,2.0,3,4,low
119,No,Sales,1,Sales Executive,96790,12,2,2,4.0,3.0,3.0,3,3,medium
120,Yes,Research & Development,1,Sales Representative,56170,25,5,0,1.0,4.0,2.0,3,4,medium
121,No,Sales,1,Laboratory Technician,104480,13,5,1,3.0,4.0,3.0,3,3,high
122,No,Research & Development,5,Manager,28970,18,5,0,4.0,3.0,4.0,3,3,low
123,No,Research & Development,2,Manager,59680,13,1,0,3.0,2.0,3.0,3,3,medium
124,Yes,Sales,2,Manager,75100,18,6,0,3.0,2.728246013667426,3.0,3,3,medium
125,No,Research & Development,1,Research Scientist,29910,19,2,1,1.0,2.0,3.0,2,3,low
126,No,Research & Development,5,Healthcare Representative,196360,12,10,9,2.0,3.0,3.0,3,3,high
127,Yes,Sales,3,Research Scientist,11290,19,1,0,3.0,4.0,3.0,2,3,low
128,No,Research & Development,1,Sales Executive,133410,14,18,12,4.0,1.0,2.0,3,3,high
129,No,Research & Development,3,Research Scientist,43320,14,5,1,4.0,2.0,3.0,2,3,low
130,No,Research & Development,4,Manager,110310,12,5,1,2.0,1.0,3.0,2,3,high
131,No,Sales,3,Sales Executive,44400,11,1,0,3.0,2.0,2.0,2,3,low
132,No,Sales,1,Sales Executive,46170,11,25,3,1.0,2.0,3.0,3,3,low
133,No,Sales,1,Laboratory Technician,26470,13,1,0,2.0,3.0,3.0,2,3,low
134,No,Human Resources,2,Manufacturing Director,63230,23,4,1,1.0,1.0,2.0,2,4,medium
135,No,Research & Development,1,Laboratory Technician,56770,20,3,1,3.0,3.0,3.0,3,4,medium
136,No,Research & Development,3,Sales Executive,21870,15,13,3,2.0,1.0,1.0,2,3,low
137,No,Sales,1,Manufacturing Director,37480,14,3,1,4.0,4.0,3.0,2,3,low
138,No,Sales,2,Sales Representative,39770,18,5,0,3.0,3.0,3.0,3,3,low
139,No,Human Resources,1,Manufacturing Director,86330,19,5,1,2.0,4.0,3.0,4,3,medium
140,No,Research & Development,3,Laboratory Technician,20080,22,13,10,2.0,3.0,3.0,2,4,low
141,No,Research & Development,3,Laboratory Technician,44400,13,4,3,4.0,1.0,3.0,3,3,low
142,No,Research & Development,1,Sales Executive,30670,20,21,1,2.0,3.0,3.0,1,4,low
143,No,Research & Development,3,Sales Executive,53210,14,7,7,3.0,1.0,2.0,3,3,medium
144,No,Sales,2,Manufacturing Director,54100,17,5,4,2.0,3.0,3.0,3,3,medium
145,No,Research & Development,3,Research Scientist,27820,14,10,0,2.0,1.0,3.0,2,3,low
146,No,Research & Development,3,Healthcare Representative,119570,13,10,1,3.0,1.0,3.0,2,3,high
147,Yes,Research & Development,3,Laboratory Technician,26600,13,2,0,1.0,1.0,3.0,3,3,low
148,No,Research & Development,2,Sales Representative,33750,21,5,0,4.0,3.0,3.0,2,4,low
149,No,Research & Development,1,Sales Executive,50980,14,2,0,1.0,4.0,2.0,3,3,medium
150,No,Research & Development,2,Research Scientist,48780,11,5,1,4.0,4.0,1.0,3,3,low
151,No,Sales,2,Healthcare Representative,28370,13,5,0,1.0,3.0,3.0,2,3,low
152,No,Sales,1,Sales Executive,24060,20,5,0,3.0,4.0,3.0,3,4,low
153,No,Research & Development,1,Manufacturing Director,22690,18,29,11,1.0,1.0,1.0,3,3,low
154,No,Sales,1,Sales Executive,41080,14,10,0,3.0,3.0,2.0,2,3,low
155,No,Research & Development,4,Sales Executive,132060,13,6,0,4.0,4.0,4.0,3,3,high
156,Yes,Research & Development,1,Research Scientist,104220,17,5,1,1.0,2.0,3.0,2,3,high
157,Yes,Research & Development,2,Research Scientist,137440,20,2,1,4.0,3.0,2.0,3,4,high
158,No,Sales,2,Sales Executive,49070,11,1,0,4.0,4.0,3.0,3,3,low
159,No,Sales,1,Sales Executive,34820,18,20,1,3.0,3.0,3.0,2,3,low
160,No,Research & Development,4,Healthcare Representative,24360,24,3,0,1.0,4.0,1.0,4,4,low
161,No,Research & Development,2,Sales Executive,23800,18,5,1,3.0,4.0,1.0,2,3,low
162,No,Research & Development,3,Manufacturing Director,194310,11,10,0,2.0,3.0,3.0,3,3,high
163,Yes,Research & Development,3,Research Scientist,17900,16,2,1,3.0,2.0,4.0,2,3,low
164,Yes,Research & Development,1,Sales Executive,76440,15,1,0,1.0,4.0,4.0,3,3,medium
165,No,Research & Development,3,Research Scientist,51310,15,9,7,3.0,1.0,3.0,3,3,medium
166,No,Research & Development,4,Research Scientist,63060,12,1,0,1.0,4.0,2.0,3,3,medium
167,No,Sales,3,Manager,47870,12,27,15,2.0,3.0,3.0,3,3,low
168,No,Sales,3,Laboratory Technician,188800,22,11,6,3.0,4.0,2.0,3,4,high
169,No,Research & Development,4,Laboratory Technician,23390,20,18,13,3.0,1.0,4.0,3,4,low
170,No,Research & Development,5,Manufacturing Director,135700,16,5,0,1.0,4.0,3.0,2,3,high
171,No,Sales,1,Laboratory Technician,67120,21,3,0,1.0,3.0,1.0,2,4,medium
172,No,Research & Development,2,Laboratory Technician,54060,12,5,4,4.0,3.0,3.0,3,3,medium
173,No,Research & Development,2,Human Resources,89380,11,1,0,3.0,3.0,3.0,3,3,medium
174,No,Sales,1,Laboratory Technician,24390,11,7,5,4.0,3.0,3.0,4,3,low
175,No,Research & Development,1,Healthcare Representative,88370,18,3,1,3.0,4.0,3.0,2,3,medium
176,No,Research & Development,2,Research Director,53430,14,13,0,3.0,2.0,4.0,3,3,medium
177,Yes,Research & Development,4,Research Director,67280,22,7,7,2.0,3.0,4.0,2,4,medium
178,Yes,Sales,2,Research Director,66520,25,4,1,1.0,4.0,3.0,3,4,medium
179,No,Research & Development,1,Sales Executive,48500,12,3,1,4.0,2.0,3.0,3,3,low
180,No,Research & Development,2,Sales Representative,28090,23,8,0,4.0,3.0,3.0,1,4,low
181,Yes,Research & Development,2,Sales Executive,56890,15,1,0,1.0,3.0,3.0,2,3,medium
182,Yes,Sales,1,Research Director,20010,22,3,0,2.0,1.0,3.0,4,4,low
183,No,Research & Development,1,Research Scientist,29770,15,2,2,2.0,3.0,3.0,2,3,low
184,No,Research & Development,1,Research Scientist,40250,11,10,9,2.0,4.0,2.0,3,3,low
185,Yes,Research & Development,2,Laboratory Technician,37850,13,2,1,3.0,3.0,3.0,3,3,low
186,No,Research & Development,1,Laboratory Technician,108540,14,9,6,2.0,4.0,3.0,3,3,high
187,No,Research & Development,1,Sales Executive,120310,11,10,7,1.0,2.0,3.0,3,3,high
188,No,Research & Development,2,Research Scientist,99360,17,14,1,4.0,4.0,3.0,2,3,medium
189,No,Research & Development,1,Sales Representative,29660,18,11,6,2.0,3.0,3.0,2,3,low
190,No,Research & Development,2,Laboratory Technician,25710,14,20,5,2.0,3.0,3.0,3,3,low
191,No,Research & Development,1,Research Scientist,99910,16,8,0,3.0,3.0,3.0,3,3,medium
192,No,Research & Development,3,Research Director,61420,13,6,0,2.0,4.0,4.0,2,3,medium
193,No,Research & Development,3,Sales Executive,53900,14,10,5,4.0,1.0,2.0,3,3,medium
194,No,Research & Development,4,Sales Executive,44040,23,8,3,4.0,2.0,4.0,3,4,low
195,Yes,Research & Development,2,Laboratory Technician,59930,12,7,1,2.7236031927023947,3.0,2.0,3,3,medium
196,No,Research & Development,1,Research Scientist,51300,11,3,1,4.0,4.0,4.0,2,3,medium
197,No,Research & Development,1,Laboratory Technician,20900,16,6,0,1.0,3.0,3.0,3,3,low
198,No,Research & Development,1,Sales Executive,29090,14,5,0,3.0,4.0,2.0,3,3,low
199,Yes,Research & Development,1,Sales Executive,34680,18,0,0,2.0,2.0,3.0,4,3,low
200,No,Research & Development,2,Laboratory Technician,30680,19,1,0,3.0,1.0,3.0,2,3,low
201,No,Research & Development,2,Manufacturing Director,26700,15,8,0,1.0,3.0,3.0,2,3,low
202,No,Research & Development,3,Healthcare Representative,26930,17,0,0,1.0,3.0,3.0,2,3,low
203,No,Research & Development,2,Human Resources,95260,15,5,0,1.0,3.0,3.0,2,3,medium
204,No,Research & Development,1,Laboratory Technician,52370,19,10,5,4.0,4.0,3.0,2,3,medium
205,Yes,Sales,2,Manufacturing Director,24260,22,1,0,3.0,4.0,1.0,1,4,low
206,No,Research & Development,1,Sales Executive,41930,16,6,1,2.0,4.0,4.0,3,3,low
207,No,Research & Development,5,Human Resources,29110,13,2,1,1.0,3.0,2.0,3,3,low
208,No,Research & Development,1,Research Director,26610,14,18,11,2.0,1.0,3.0,3,3,low
209,No,Research & Development,1,Sales Executive,20280,16,9,7,1.0,2.0,3.0,3,3,low
210,No,Sales,1,Laboratory Technician,99800,11,10,6,4.0,1.0,3.0,3,3,medium
211,Yes,Research & Development,2,Research Director,32980,22,4,1,4.0,3.0,3.0,2,4,low
212,No,Sales,1,Healthcare Representative,29350,14,2,2,4.0,4.0,3.0,2,3,low
213,No,Research & Development,1,Research Scientist,154270,16,1,0,3.0,3.0,3.0,3,3,high
214,No,Research & Development,5,Research Scientist,39440,11,6,4,2.0,2.0,2.0,3,3,low
215,No,Sales,1,Sales Executive,40110,18,31,0,4.0,3.0,3.0,1,3,low
216,No,Sales,1,Sales Executive,34070,15,6,1,2.0,4.0,3.0,2,3,low
217,No,Research & Development,4,Sales Executive,119940,14,5,1,1.0,2.0,4.0,3,3,high
218,No,Sales,1,Laboratory Technician,12320,12,1,0,4.0,2.0,3.0,1,3,low
219,No,Sales,1,Sales Executive,29600,14,32,10,1.0,2.0,3.0,3,3,low
220,No,Research & Development,1,Research Scientist,190940,16,7,0,2.0,3.0,3.0,2,3,high
221,Yes,Research & Development,2,Research Scientist,39190,21,6,1,1.0,3.0,3.0,3,4,low
222,Yes,Research & Development,2,Healthcare Representative,68250,14,1,0,2.0,1.0,4.0,3,3,medium
223,No,Sales,4,Research Director,102480,12,6,1,2.0,4.0,3.0,3,3,high
224,Yes,Research & Development,1,Sales Representative,189470,12,3,1,2.0,1.0,1.0,2,3,high
225,No,Research & Development,5,Sales Executive,24960,17,3,0,1.0,4.0,3.0,3,3,low
226,No,Sales,2,Sales Executive,64650,17,7,5,1.0,4.0,4.0,3,3,medium
227,No,Sales,1,Sales Representative,22060,14,5,0,1.0,3.0,2.0,3,3,low
228,No,Sales,2,Laboratory Technician,20860,14,3,1,4.0,3.0,2.0,3,3,low
229,No,Research & Development,1,Sales Representative,22930,13,1,0,4.0,2.0,4.0,1,3,low
230,No,Research & Development,2,Manufacturing Director,26450,15,10,2,3.0,4.0,3.0,3,3,low
231,No,Research & Development,2,Sales Executive,26830,11,1,0,2.0,4.0,2.0,3,3,low
232,No,Human Resources,1,Human Resources,20140,17,0,0,3.0,1.0,2.0,4,3,low
233,No,Sales,2,Healthcare Representative,34190,11,8,4,4.0,3.0,3.0,3,3,low
234,No,Research & Development,2,Laboratory Technician,53760,13,3,0,4.0,1.0,1.0,4,3,medium
235,No,Sales,2,Sales Executive,19510,22,2,0,1.0,3.0,4.0,4,4,low
236,No,Research & Development,1,Laboratory Technician,23410,20,8,0,3.0,3.0,3.0,2,4,low
237,Yes,Sales,2,Research Scientist,22930,18,4,0,3.0,1.0,3.0,3,3,low
238,No,Sales,3,Sales Executive,87260,11,3,1,3.0,3.0,3.0,1,3,medium
239,No,Research & Development,1,Laboratory Technician,40110,14,2,0,4.0,4.0,4.0,3,3,low
240,No,Research & Development,2,Laboratory Technician,195450,14,2,2,1.0,3.0,3.0,2,3,high
241,No,Sales,2,Manufacturing Director,45680,18,5,1,3.0,3.0,3.0,3,3,low
242,No,Research & Development,1,Healthcare Representative,30220,16,6,0,1.0,4.0,2.0,3,3,low
243,No,Research & Development,3,Manager,57720,17,1,0,3.0,3.0,3.0,3,3,medium
244,No,Research & Development,3,Manager,22690,11,14,8,4.0,1.0,4.0,2,3,low
245,No,Research & Development,1,Research Scientist,53810,12,10,8,2.0,4.0,2.0,3,3,medium
246,Yes,Research & Development,3,Research Director,34410,13,1,0,1.0,1.0,3.0,3,3,low
247,No,Research & Development,1,Manufacturing Director,54540,13,3,0,3.0,4.0,3.0,4,3,medium
248,No,Research & Development,1,Manager,98840,14,10,7,3.0,3.0,3.0,2,3,medium
249,No,Research & Development,1,Healthcare Representative,41570,17,6,1,2.0,3.0,2.0,3,3,low
250,No,Research & Development,4,Laboratory Technician,134580,11,17,11,2.0,4.0,3.0,3,3,high
251,No,Research & Development,2,Laboratory Technician,90690,25,13,4,3.0,4.0,1.0,3,4,medium
252,No,Research & Development,2,Sales Executive,40140,19,9,7,3.0,2.0,4.0,2,3,low
253,No,Research & Development,2,Research Scientist,59150,13,3,0,2.0,2.0,3.0,2,3,medium
254,No,Sales,5,Research Director,59930,14,4,1,1.0,4.0,3.0,1,3,medium
255,Yes,Research & Development,5,Sales Representative,61620,12,1,1,4.0,3.0,3.0,2,3,medium
256,Yes,Research & Development,1,Laboratory Technician,24060,11,10,9,1.0,1.0,3.0,3,3,low
257,No,Research & Development,1,Research Scientist,187400,19,1,0,3.0,3.0,3.0,4,3,high
258,No,Research & Development,1,Healthcare Representative,76370,11,3,0,1.0,1.0,4.0,3,3,medium
259,No,Research & Development,2,Manufacturing Director,100960,11,3,1,4.0,2.0,3.0,3,3,high
260,No,Research & Development,5,Research Scientist,147560,20,7,0,4.0,4.0,3.0,2,4,high
261,No,Sales,4,Healthcare Representative,64990,18,10,2,2.0,4.0,3.0,2,3,medium
262,No,Research & Development,1,Sales Executive,97240,13,2,2,2.0,2.0,3.0,4,3,medium
263,No,Sales,5,Laboratory Technician,21940,12,6,0,4.0,4.0,3.0,3,3,low
264,No,Research & Development,3,Manager,33880,11,1,0,4.0,4.0,3.0,4,3,low
265,No,Sales,1,Laboratory Technician,54730,19,20,3,4.0,3.0,3.0,4,3,medium
266,No,Research & Development,1,Healthcare Representative,27030,21,8,7,4.0,2.0,4.0,3,4,low
267,Yes,Research & Development,1,Healthcare Representative,25010,12,2,2,1.0,3.0,3.0,1,3,low
268,No,Research & Development,1,Sales Representative,62200,14,20,11,4.0,3.0,3.0,3,3,medium
269,No,Research & Development,5,Research Scientist,30380,11,10,0,4.0,4.0,2.0,1,3,low
270,Yes,Research & Development,4,Sales Representative,44240,14,4,1,2.0,3.0,3.0,2,3,low
271,No,Research & Development,1,Sales Executive,43120,12,9,1,2.0,4.0,2.0,2,3,low
272,No,Research & Development,5,Research Scientist,132450,23,9,0,3.0,1.0,3.0,2,4,high
273,No,Sales,2,Sales Executive,136640,14,7,7,3.0,4.0,2.7614364135407135,3,3,high
274,No,Research & Development,5,Sales Executive,50210,17,7,1,4.0,1.0,3.0,3,3,medium
275,No,Research & Development,3,Human Resources,51260,18,18,1,4.0,1.0,3.0,3,3,medium
276,No,Research & Development,2,Laboratory Technician,28590,18,5,1,3.0,3.0,3.0,3,3,low
277,No,Sales,1,Sales Executive,102390,24,21,12,2.0,4.0,2.0,3,4,high
278,No,Research & Development,5,Laboratory Technician,53290,20,2,2,1.0,1.0,3.0,4,4,medium
279,No,Research & Development,2,Manufacturing Director,43250,14,9,1,4.0,1.0,2.0,2,3,low
280,No,Research & Development,1,Manufacturing Director,72600,16,22,2,4.0,3.0,3.0,3,3,medium
281,No,Sales,2,Research Scientist,23220,25,2,2,4.0,2.0,3.0,4,4,low
282,Yes,Sales,3,Research Scientist,20750,18,7,3,1.0,2.0,3.0,2,3,low
283,No,Research & Development,2,Research Scientist,41520,19,8,0,1.0,1.0,3.0,3,3,low
284,No,Research & Development,3,Manager,96190,13,1,0,3.0,3.0,4.0,3,3,medium
285,No,Research & Development,1,Research Scientist,135030,12,5,1,1.0,3.0,3.0,2,3,high
286,No,Research & Development,1,Research Scientist,54410,22,22,11,4.0,3.0,2.0,2,4,medium
287,No,Research & Development,2,Sales Executive,52090,14,8,7,3.0,4.0,2.0,3,3,medium
288,No,Research & Development,1,Sales Executive,106730,13,1,0,3.0,3.0,3.0,3,3,high
289,Yes,Research & Development,1,Sales Executive,50100,21,2,2,3.0,3.0,3.0,3,4,medium
290,No,Research & Development,1,Laboratory Technician,135490,11,2,2,4.0,4.0,3.0,3,3,high
291,No,Research & Development,2,Healthcare Representative,49990,12,5,4,2.0,3.0,3.0,4,3,low
292,No,Sales,5,Sales Executive,42210,11,4,0,2.0,1.0,4.0,3,3,low
293,No,Sales,4,Healthcare Representative,138720,12,8,3,3.0,2.0,1.0,2,3,high
294,No,Research & Development,1,Manager,20420,12,10,1,3.0,4.0,2.0,3,3,low
295,No,Sales,2,Research Scientist,20730,14,4,2,4.0,4.0,2.0,3,3,low
